word,count,trans
ኣጥሒላ, 1, 'aTħila
ተጻዊተ, 1, täṣawitä
ተሓዝካዮ, 1, täħazkayo
ዕላል, 1, ʕlal
ይገብራ, 1, ygäbra
ኣይፋልካን, 1, 'ayfalkan
ኢልኪ, 1, 'ilki
ጌታ, 1, geta
ጌሩ, 1, geru
ምስቶም, 1, mstom
ወትሩ, 1, wätru
ዝስተ, 1, zstä
ተቐቢለ, 1, täQäbilä
ዝጸበቐት, 1, zṣäbäQät
ክሕሎ, 1, kħlo
ንጸብጽብ, 1, nṣäbṣb
ኣዕሊለ, 1, 'aʕlilä
ምዕባለ, 1, mʕbalä
እስከ, 1, 'skä
ጸብለልታ, 1, ṣäblälta
ድኻ, 1, dKa
ኣነየ, 1, 'anäyä
ፍረ, 1, frä
ዝገብራ, 1, zgäbra
መኽመስመሲት, 1, mäKmäsmäsit
ንዓየ, 1, nʕayä
ጉዕዞኻ, 1, guʕzoKa
ዝጠለማኻ, 1, zTälämaKa
ክሳብ, 1, ksab
ይኣቱ, 1, y'atu
ነገርስ, 1, nägärs
በላ, 1, bäla
ስምዓዮ, 1, smʕayo
ዘይኣመለይ, 1, zäy'amäläy
ክምስጥ, 1, kmsT
ሰኣን, 1, sä'an
ኣይትግደፍኒ, 1, 'aytgdäfni
መንጎ, 1, mängo
ብዘይወሰን, 1, bzäywäsän
ኣብታ, 1, 'abta
ይብል, 1, ybl
ሰንሰለት, 1, sänsälät
ጀሚረ, 1, ǧämirä
እባ, 1, 'ba
ድሃን, 1, dhan
ከዘክረካ, 1, käzäkräka
ገበር, 1, gäbär
ኣዲስ, 1, 'adis
ዘይመልኽ, 1, zäymälK
ደድሕረይ, 1, dädħräy
ንነብሰይ), 1, nnäbsäy)
ምሳና, 1, msana
ንዝደሊ, 1, nzdäli
ኣኽባሪናይ, 1, 'aKbarinay
ቁጽሪ, 1, quṣri
ከበሮ, 1, käbäro
ባንዴራና, 1, banderana
ክንራከብ, 1, knrakäb
ሰባ, 1, säba
ኢዩ, 1, 'iyu
ተሰጕጉ, 1, täsägʷgu
ሕዛበይ, 1, ħzabäy
