list, Map1
וּמִשְׁפַּחַת, umišpaħat
אֶת־הַמִשְׁכָּן, 'et־hamiškan
תְדַבֵּר, tdaber
תְדַבֵּר, tdaber
הַגְבוּל, hagvul
תְנוּפָה, tnufah
וּשְׂעִיר־עִזִים, usʕiyr־ʕiziym
לְמַעַן, lmaʕan
הַכְּבָשִׂים, hakvasiym
נַחֲלַת, naħalat
פָּארָן, pa'ran
פַּעֲמָיִם, paʕamayim
פְּעָמִים, pʕamiym
מֵת, met
לְעֵינֵי, lʕeyney
בֶּן־חֵלֹן, ben־ħelon
וּלְבָנָיו, ulvanayw
דְבָרִי, dvariy
דְבָרָי, dvaray
דִבְרֵי, divrey
בְּמוֹֹת, bmwot
בָּמוֹֹת, bamwot
וְנָסַע, wnasaʕ
וְהַזָר, whazar
מֵחֹר, meħor
מָחָר, maħar
אָבוֹֹת, 'avwot
אֲבוֹֹת, 'avwot
אֶל־אֶרֶץ, 'el־'eret͡s
וּפָרְשׂוּ, ufarsu
מִכֹּל, mikol
וַיַעֲשׂוּ, wayaʕasu
וְיַעֲשׂוּ, wyaʕasu
וְעַל־צְבָאוֹֹ, wʕal־t͡sva'wo
הָאֲלָפִים, ha'alafiym
לְגֻלְגְלֹתָם, lgulglotam
לַיְלָה, laylah
לָיְלָה, laylah
וּשְׁלֹשׁ, ušloš
הַמְעַט, hamʕaṭ
שְׁבַע, švaʕ
שֶׁבַע, ševaʕ
הַמַגֵפָה, hamagefah
אֲשֶׁר־יָמוּת, 'ašer־yamut
הַמַטֶה, hamaṭeh
וַיַעַל, wayaʕal
יִשְׁתֶה, yišteh
נִדָה, nidah
הַלֵוִי, halewiy
חֻקַת, ħuqat
תְרוּעָה, truʕah
וְהֵם, whem
וָהֵם, wahem
אֹהֶל־מוֹֹעֵד, 'ohel־mwoʕed
