list, Map1
מְרֹמֵי, mromey
לָצוֹֹן, lacwon
בְאִמְרֵי־פִיךָ, v'imrey־fiyxa
בְּאִמְרֵי־פִיךָ, b'imrey־fiyxa
אָבוּס, 'avs
אֵבוּס, 'evs
גַם־אֵלֶה, gam־'eleh
תְהוֹֹם, thwom
תְהוֹֹם, thwom
חֵיל, ħeyl
חָיִל, ħayil
פַּעַם, paʕam
אֶת־יְהוָה, 'et־yhwah
מִבַּיִת, mibayit
מִבֵּית, mibeyt
בְּבֵית, bveyt
לִהְיוֹֹת, lihywot
שָׁלוֹֹשׁ, šalwoš
יִכּוֹֹן, yikwon
עֹשֵׂהוּ, ʕoseh
וַיָבֹא, wayavo'
יִרְאוּ, yir'
