list, Map1
מִלְחָמָה, milħamah
הַשִׁירִים, hašiyriym
עִם־חֲלָבִי, ɣim־ħalaviy
מִכָּל־בְּשָׂמִים, mikal־bSamiym
אֶת־הַכֶּרֶם, 'et־hakerem
וְכֻלוֹֹ, wxulwo
אָמַרְתִי, 'amartiy
מָשְׁכֵנִי, mašxeniy
כְּאָהֳלֵי, k'ahaley
רָחַצְתִי, raħaṣtiy
לַאֲחֹתֵנוּ, la'aħoten
מִן־הַחֹר, min־haħor
לוּחַ, lħa
יוֹֹנֵק, ywoneq
בְשָׂמָיו, vSamayw
הָמוּ, ham
עֲנָק, ɣanaq
קָנֶה, qaneh
רְשָׁפֶיהָ, ršafeyha
עַל־יְרֵכוֹֹ, ɣal־yrexwo
שִׂמְחַת, Simħat
מְחַבְּלִים, mħabliym
הַיַעַר, hayaɣar
שֵׁן, šen
עָרֵב, ɣarev
מֵעֵינַיִךְ, meɣeynayix
יִשָׁקֵנִי, yišaqeniy
אִם־תִמְצְאוּ, 'im־timṣ'
בָּרְהָטִים, barhaṭiym
עַל־אַדְנֵי־פָז, ɣal־'adney־faz
הוֹֹרָתִי, hworatiy
הָאֶלֶף, ha'elef
הוֹֹלֵךְ, hwolex
יִתֶנְךָ, yitenxa
הַתְאֵנָה, hat'enah
יְשֵׁנִים, yšeniym
נָטָרְתִי, naṭartiy
סֹב, sov
מַה־תָעִירוּ, mah־taɣiyr
דוֹֹפֵק, dwofeq
מִנֶגְדִי, minegdiy
בַּשְׁוָקִים, bašwaqiym
שֶׁשֱׁזָפַתְנִי, šešezafatniy
כַּלְבָנוֹֹן, kalvanwon
יָדַעְתִי, yadaɣtiy
בַּתַעֲנוּגִים, bataɣangiym
מַה־תַגִידוּ, mah־tagiyd
מִתְרַפֶּקֶת, mitrapeqet
רֹאשִׁי, ro'šiy
מִן־לְבָנוֹֹן, min־lvanwon
בָּאַהֲבָה, ba'ahavah
עַד־שֶׁהֲבֵיאתִיו, ɣad־šehavey'tiyw
מִסְפָּר, mispar
לְאַשְׁכֹּלוֹֹת, l'aškolwot
הַלְבוֹֹנָה, halvwonah
נַשְׁכִּימָה, naškiymah
טִירַת, ṭiyrat
מֵישָׁרִים, meyšariym
וְקִנָמוֹֹן, wqinamwon
עַל־לִבֶּךָ, ɣal־libexa
קְרָאתִיו, qra'tiyw
בַּתַרְשִׁישׁ, bataršiyš
וְשִׁכְרוּ, wšixr
מְצָאוּנִי, mṣa'niy
הָרִמוֹֹנִים, harimwoniym
צָפַנְתִי, ṣafantiy
יָלִין, yaliyn
הַסְמָדַר, hasmadar
נְקֻדוֹֹת, nqudwot
עַמוּדָיו, ɣamdayw
וְיִהְיוּ־נָא, wyihy־na'
גַן, gan
כַּעֲרוּגַת, kaɣargat
פִּילַגְשִׁים, piylagšiym
מַעֲשֵׂה, maɣaSeh
כִּמְעַט, kimɣaṭ
גִלְעָד, gilɣad
שֶׁרֹאשִׁי, šero'šiy
רוֹֹכֵל, rwoxel
מִגְדְלוֹֹת, migdlwot
שַׁלְהֶבֶתְיָה, šalhevetyah
וַיְאַשְׁרוּהָ, way'ašrha
