list,            Map1
אַרְבָּעָה,          arbaʕa
הַבַּחוּרִים, habaħurim
מוֹֹת, mot
כֶּסֶף, kesef
קַל, qal
כִּי־עַתָה,         ki-ʕata
בַּסֵתֶר, baseter
כַּמָיִם,           kamayim
הַזֹאת,           hazo't
וְיִשְׂמְחוּ,         wyismħu
תָם,             tam
גַל, gal
בְנֵי, vney
מֵאֵת,            me'et
יַיִן,            yayin
שֵׁם,             šem
רָמָה,            rama
עִם, ʕim
הֵן,             hen
בְּאָזְנֵינוּ,        b'azneyn
הַטַל, haṭal
לָאוֹֹר,           la'or
וְדֶרֶךְ,           wderex
אִיוֹֹב,           iyov
אַחַת, aħat
שֵׁנִי, šeni
אַפּוֹֹ, apo
אַחַר, aħar
צֵל, t͡sel
לְבָבוֹֹ, lvavo
עֲלֵי, ʕaley
בְּמִלִים,          bmiliym
תְכֵלֶת, txelet
שְׁנַת, šnat
בְּשָׂרִי,           bsari
עֵינַי, ʕeynay
וְזֶה,            wze
דַרְכּוֹֹ,           darko
שַׁבָּת, šabat
תָבֹא,            tavo'
יָרַד, yarad
אֵלֶיךָ,               elexa
סְבִיב, sviv
עַל־עָפָר,         ʕal-ʕafar
אֶשְׁאָלְךָ,          eš'alxa
אַחַד, aħad
הַמֶלֶךְ, hamelex
עַל־אֲנָשִׁים,       ʕal-anašiym
יָמָי,            yamay
בְּתוֹֹךְ,           btox
יָכִין,           yaxin
עֵץ, ʕet͡s
הָאִישׁ,           ha'iyš
נִתַן, nitan
יַגִיעַ,           yagiyaʕ
שְׂפָתַי,           sfatay
שֹׁמֵעַ,            šomeaʕ
שִׁנָיו,           šinaw
עוֹֹרוֹֹ,           ʕoro
רַךְ, rax
הֲיֵשׁ,            hayeš
עַל־כֵּן,          ʕal-ken
עָלֵינוּ, ʕaleynu
חָפֵץ, ħafet͡s
אֲשִׁיבֶנוּ,         ašivenu
רַגְלַי,           raglay
בַּצֵל, bat͡sel
מַעֲשֶׂה,           maʕase
מִפִּיו,           mipiw
רַבִּים,           rabim
וְאֶת, w'et
הֲלֹא, halo'
אַךְ, ax
יֵשְׁבוּ,           yešvu
מִשַׁדַי,           mišaday
עוֹֹלָה,           ʕola
שְׁלֵמָה, šlema
שַׁחַר, šaħar
קֹלוֹֹת,           qolot
סוּר,            sr
תֵבֵל,            tevel
פָּנִים,           panim
טוֹֹבָה,           ṭova
עַתָה, ʕata
וַתְהִי,           wathi
שׁוֹֹלָל,           šolal
רָשָׁע,                rašaʕ
רַבָּה,            raba
מַדוּעַ,           maduaʕ
תוּשִׁיָה,         tušiya
בָּנָיו,           banaw
רָחָב,            raħav
יָדַע, yadaʕ
לֵבָב,            levav
בָּא,             ba'
יַחַד,            yaħad
שָׁמְעָה,           šamaʕ
בָּאָרֶץ,               ba'aret͡s
