word, trans
ዘይርስዖ, zäyrsʕo
ኽቡር, Kbur
ክርስቶስን, krstosn
ካብቶም, kabtom
ሰርሔ, särħe
ህዝቅኤል, hzq'el
የብሎምን, yäblomn
ኣለው, 'aläw
ኣነ, 'anä
ይኸውን, yKäwn
ሕቖአን, ħQo'än
እስኪ, 'ski
ዝኣዘዞ, z'azäzo
ኪዳን, kidan
የቐኔለይ, yäQäneläy
ብዕራይ, bʕray
መዓት, mäʕat
ክንዲ, kndi
ምርኣይ, mr'ay
ኣዒንትኻ, 'aʕintKa
ሓጢኣት, ħaTi'at
በለጸት, bäläṣät
ጓሶት, gʷasot
መግቢ, mägbi
ቅድመይ, qdmäy
አሎና, 'älona
መቂሩ, mäqiru
ቀጸለ, qäṣälä
ምዃኑ, mkʷanu
ኣእማን, 'a'man
ንዝሓለፉንዘለና, nzħaläfunzäläna
ብህይወት, bhywät
ዘይብልኪ, zäyblki
ነብስኻየ, näbsKayä
መንነት, männät
ሰምዑ, sämʕu
ኣኼባ, 'aKeba
ዘጸአት, zäṣä'ät
ናባኺ, nabaKi
ኣንስትን, 'anstn
ዮሃንስ, yohans
ዚኸውን, ziKäwn
ገበረ, gäbärä
ሀቦም, häbom
ንከባበር, nkäbabär
ትኪ, tki
ናይዛ, nayza
ኣይተረፍኩን, 'aytäräfkun
ባሕርን, baħrn
ዘበሉ, zäbälu
ድማ, dma
ብሓንቲ, bħanti
ወግሐ, wägħä
ዓይና, ʕayna
እግሩ, 'gru
ብዘላ, bzäla
ረኣየ, rä'ayä
ወርትግ, wärtg
ፍንፉን, fnfun
አሎ, 'älo
ዚደሊ, zidäli
ሃይማኖት, haymanot
ሎሚ, lomi
ኣጸድ, 'aṣäd
ይስማዕ, ysmaʕ
መሰውኢ, mäsäw'i
ብሰይፊ, bsäyfi
ብስመይ, bsmäy
ኹን, Kun
ኽሳዕ, Ksaʕ
እናበሉ, 'nabälu
ካልኣይ, kal'ay
እዝኒ, 'zni
እዩ, 'yu
ሒዛ, ħiza
ሳዕ, saʕ
ጓና, gʷana
ጸበባ, ṣäbäba
ኣሎኻ, 'aloKa
ወረዱ, wärädu
ጅግና, ǧgna
ክልተ, kltä
ዝኾስኮሶ, zKoskoso
በል, bäl
ኺድ, Kid
ጥንቲ, Tnti
ዕዮ, ʕyo
ኣባኻ, 'abaKa
ሊቃውንቲ, liqawnti
ዝነበረ, znäbärä
ጌረ, gerä
ነገድ, nägäd
ዘመን, zämän
ኽፉእ, Kfu'
ኣትዩ, 'atyu
ኤፍሬም, 'efrem
