word,trans
ብዅሉ, bkʷlu
ማሕበር, maħbär
ተዛረቦ, täzaräbo
በላ, bäla
ምብራቕ, mbraQ
ደአ, dä'ä
ብህይወት, bhywät
ኢኺ, 'iKi
ነዛ, näza
ዘለኣለም, zälä'aläm
መዛሙርቱ, mäzamurtu
ንቤት, nbet
ኽፉእ, Kfu'
ኣኽራን, 'aKran
ኻህናት, Kahnat
ምሳታቶም, msatatom
ብርሃን, brhan
ርስቲ, rsti
ቅድሜኻ, qdmeKa
ስሙ, smu
ንሱውን, nsuwn
ጸሓይ, ṣäħay
ማያት, mayat
እዞም, 'zom
ደጊም, dägim
ንዂሉ, nkʷilu
ንዘለአለም, nzälä'äläm
መዝሙር, mäzmur
በለኒ, bäläni
ብሓደ, bħadä
ብሓዊ, bħawi
ኢላ, 'ila
ኢደይ, 'idäy
ዓሌት, ʕalet
ነብያት, näbyat
መሮር, märor
ጽድቂ, ṣdqi
ምድርን, mdrn
ጽዮን, ṣyon
ልዕሊኡ, lʕli'u
ኸረን, Kärän
እከይ, 'käy
እብለኩም, 'bläkum
ወርቅን, wärqn
ተንሲኡ, tänsi'u
ምሳኻትኩም, msaKatkum
ኸለዉ, Käläwu
ኪዀኑ, kikʷänu
ቀደም, qädäm
ልቡ, lbu
እምብኣርሲ, 'mb'arsi
ብመዓልቲ, bmäʕalti
ምርኻብ, mrKab
ኣታኽልቲ, 'ataKlti
